image,dp_pupil,r_pupil,dp_iris,r_iris,dp_eyelid,dist_eyelid,TP,FP,FN,precision,recall,f1
001/L/S1001L03.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
001/L/S1001L04.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
001/L/S1001L05.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
001/L/S1001L06.jpg,1.5,50,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
001/R/S1001R01.jpg,1.2,50,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
001/R/S1001R05.jpg,1.5,50,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
001/R/S1001R09.jpg,1.2,20,1.2,20,1.2,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
001/R/S1001R10.jpg,1.2,20,1.2,20,1.5,200,1,1,3,0.5,0.25,0.3333333333333333
002/L/S1002L01.jpg,1.2,20,1.2,20,1.2,200,1,2,3,0.3333333333333333,0.25,0.28571428571428575
002/L/S1002L02.jpg,1.2,30,1.2,20,1.2,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
002/L/S1002L03.jpg,1.2,20,1.2,20,1.2,150,2,2,2,0.5,0.5,0.5
002/L/S1002L04.jpg,1.5,20,1.2,20,1.2,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
002/L/S1002L06.jpg,1.2,20,1.2,50,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
002/L/S1002L07.jpg,1.2,20,1.2,20,1.5,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
002/L/S1002L08.jpg,1.2,20,1.2,50,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
002/L/S1002L10.jpg,1.2,20,1.2,20,1.2,200,2,0,2,1.0,0.5,0.6666666666666666
002/R/S1002R04.jpg,1.2,20,1.2,20,1.5,150,2,2,2,0.5,0.5,0.5
002/R/S1002R06.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
002/R/S1002R07.jpg,1.2,20,1.2,50,1.5,150,3,2,1,0.6,0.75,0.6666666666666665
003/R/S1003R01.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
003/R/S1003R06.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
003/R/S1003R07.jpg,1.5,20,1.2,20,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
004/R/S1004R01.jpg,1.2,50,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
004/R/S1004R03.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
004/R/S1004R04.jpg,1.2,20,1.2,30,1.5,150,2,3,2,0.4,0.5,0.4444444444444445
004/R/S1004R07.jpg,1.2,20,1.2,20,1.5,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
005/R/S1005R01.jpg,1.2,20,1.2,20,1.2,150,2,0,2,1.0,0.5,0.6666666666666666
005/R/S1005R02.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
005/R/S1005R04.jpg,1.2,20,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
005/R/S1005R06.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
005/R/S1005R07.jpg,1.2,20,1.2,30,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
006/R/S1006R01.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
006/R/S1006R03.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
006/R/S1006R04.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
006/R/S1006R06.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
006/R/S1006R07.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
007/L/S1007L01.jpg,1.2,50,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
007/L/S1007L03.jpg,1.2,20,1.5,30,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
007/L/S1007L04.jpg,1.2,50,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
007/L/S1007L06.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
007/L/S1007L08.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
007/L/S1007L09.jpg,1.2,50,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
007/L/S1007L10.jpg,1.2,50,1.2,30,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
007/R/S1007R01.jpg,1.2,20,1.2,30,1.5,200,1,1,3,0.5,0.25,0.3333333333333333
007/R/S1007R02.jpg,1.2,20,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
007/R/S1007R03.jpg,1.2,20,1.2,30,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
007/R/S1007R04.jpg,1.2,30,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
007/R/S1007R05.jpg,1.2,20,1.2,20,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
007/R/S1007R06.jpg,1.2,30,1.2,20,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
007/R/S1007R07.jpg,1.2,20,1.2,20,1.2,200,2,2,2,0.5,0.5,0.5
007/R/S1007R08.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
007/R/S1007R09.jpg,1.2,20,1.2,20,1.2,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
007/R/S1007R10.jpg,1.2,20,1.5,20,1.2,150,2,0,2,1.0,0.5,0.6666666666666666
008/L/S1008L01.jpg,1.2,50,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
008/L/S1008L07.jpg,1.2,20,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
008/L/S1008L10.jpg,1.2,50,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
008/R/S1008R02.jpg,1.2,50,1.2,20,1.5,200,1,0,3,1.0,0.25,0.4
008/R/S1008R03.jpg,1.2,20,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
008/R/S1008R05.jpg,1.2,50,1.5,50,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
008/R/S1008R06.jpg,1.2,20,1.2,30,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
008/R/S1008R08.jpg,1.2,50,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
009/L/S1009L01.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
009/R/S1009R01.jpg,1.2,20,1.2,30,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
009/R/S1009R04.jpg,1.2,20,1.2,20,1.5,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
010/R/S1010R01.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
010/R/S1010R05.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
011/L/S1011L03.jpg,1.2,20,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
011/R/S1011R10.jpg,1.2,50,1.2,20,1.5,150,1,0,3,1.0,0.25,0.4
012/R/S1012R02.jpg,1.2,20,1.5,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
012/R/S1012R05.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
012/R/S1012R06.jpg,1.2,30,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
013/L/S1013L03.jpg,1.5,20,1.2,30,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
013/L/S1013L07.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
014/L/S1014L02.jpg,1.5,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
014/L/S1014L06.jpg,1.2,50,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
014/L/S1014L07.jpg,1.2,30,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
015/R/S1015R02.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
015/R/S1015R03.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
016/L/S1016L02.jpg,1.2,50,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
016/L/S1016L04.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
017/R/S1017R04.jpg,1.2,20,1.5,30,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
018/R/S1018R02.jpg,1.2,20,1.2,20,1.5,200,1,1,3,0.5,0.25,0.3333333333333333
019/L/S1019L01.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
019/L/S1019L07.jpg,1.5,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
019/L/S1019L09.jpg,1.2,20,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
019/L/S1019L13.jpg,1.5,30,1.2,20,1.2,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
